family,case,tail_ratio,passes,mean_estimate,abs_error,empirical_sd,empirical_stderr,mean_runtime_s,total_runtime_s,max_frontier_memory_mb,reference
ising,ising_n20_s12,0.05,4,0.7136985128554256,0.0004102806011503,1.622475927245766e-05,8.11237963622883e-06,17.29743304825,69.189732193,31.386932373046875,0.7141087934565759
ising,ising_n20_s12,0.05,5,0.7137030985778013,0.0004056948787746,1.7394722148576713e-05,7.779156234787744e-06,17.601696426,88.00848213,31.386932373046875,0.7141087934565759
ising,ising_n20_s12,0.05,6,0.7137046974444736,0.0004040960121023,1.6043669614977533e-05,6.549800693081602e-06,17.615626303166668,105.693757819,31.386932373046875,0.7141087934565759
ising,ising_n20_s12,0.05,7,0.7137045086652826,0.0004042847912932,1.4654313654208104e-05,5.538809937624689e-06,17.360422056857143,121.522954398,31.386932373046875,0.7141087934565759
ising,ising_n20_s12,0.05,8,0.7137078324895405,0.0004009609670354,1.6506148997452157e-05,5.835804943686977e-06,17.77527588925,142.202207114,31.386932373046875,0.7141087934565759
ising,ising_n20_s12,0.05,9,0.713709722592117,0.0003990708644588,1.644836542440127e-05,5.482788474800424e-06,17.985812488222223,161.872312394,31.386932373046875,0.7141087934565759
ising,ising_n20_s12,0.05,10,0.713708549491475,0.0004002439651009,1.5945200119151946e-05,5.042315012370838e-06,17.9992664056,179.992664056,31.386932373046875,0.7141087934565759
ising,ising_n20_s12,0.1,1,0.71380166820676,0.0003071252498157,,,19.778620823,19.778620823,32.90318298339844,0.7141087934565759
ising,ising_n20_s12,0.1,2,0.713773707858802,0.0003350855977739,3.954190329117335e-05,2.7960347958211337e-05,19.760156821,39.520313642000005,32.95097351074219,0.7141087934565759
ising,ising_n20_s12,0.1,3,0.7137838085040599,0.0003249849525159,3.298257360830859e-05,1.904249775132361e-05,19.37788021933333,58.133640658,32.95097351074219,0.7141087934565759
ising,ising_n20_s12,0.1,4,0.7137906746776829,0.0003181187788929,3.02293036986723e-05,1.5114651849336152e-05,18.76674900525,75.06699602099998,32.95097351074219,0.7141087934565759
ising,ising_n20_s12,0.1,5,0.713784928865609,0.0003238645909668,2.9162130983948026e-05,1.3041701449772122e-05,18.5525537796,92.762768898,32.96562194824219,0.7141087934565759
