family,case,tail_ratio,passes,seed,pass_estimate,pass_absolute_error,mean_estimate,mean_absolute_error,empirical_sd,empirical_stderr,pass_runtime_s,mean_runtime_s,total_runtime_s,max_peak_rss_mb,pass_max_importance_multiplier,max_importance_multiplier,pass_max_post_truncation_abs_coefficient,max_post_truncation_abs_coefficient,reference
clifford_t,ct_n20_d12,1.00,15,202707160315,0.33213565673429735,0.0026148940448003644,0.33061728206516633,0.001096519375669347,0.0039908314023826032,0.0010304282372632942,0.770913632,0.831630077,12.474451154,88.246,233.3073112619999,2396.9337025322798,1,1,0.32952076268949698
clifford_t,ct_n20_d12,1.00,16,202707160316,0.32829458403627931,0.0012261786532176688,0.33047211343836091,0.00095135074886393278,0.0038989916405951408,0.00097474791014878521,0.801577990,0.829751822,13.276029144,89.973,188.53002363432981,2396.9337025322798,1,1,0.32952076268949698
clifford_t,ct_n20_d12,1.00,17,202707160317,0.32641887989737595,0.0031018827921210357,0.33023368793595004,0.00071292524645305555,0.0039010763346145035,0.00094614998713017542,0.776981266,0.826647671,14.053010410,89.973,531.09533743937186,2396.9337025322798,1,1,0.32952076268949698
clifford_t,ct_n20_d12,1.00,18,202707160318,0.32680126231724343,0.0027195003722535471,0.33004299762379963,0.00052223493430264556,0.0038701068567943927,0.00091219293411862342,0.810944166,0.825775254,14.863954576,89.973,332.04384831919839,2396.9337025322798,1,1,0.32952076268949698
clifford_t,ct_n20_d12,1.00,19,202707160319,0.32586319626427962,0.0036575664252173623,0.3298230080785618,0.00030224538906481468,0.003881384254903988,0.00089045061727244192,0.799590680,0.824397119,15.663545256,89.973,234.25397559173317,2396.9337025322798,1,1,0.32952076268949698
clifford_t,ct_n20_d12,1.00,20,202707160320,0.33311159986185307,0.0035908371723560872,0.32998743766772631,0.00046667497822933113,0.0038487638571718412,0.00086060976139805281,0.805376091,0.823446067,16.468921347,89.973,248.05175526199784,2396.9337025322798,1,1,0.32952076268949698
clifford_t,ct_n20_d12,1.00,21,202707160321,0.32693856961529982,0.0025821930741971588,0.32984225347475365,0.00032149078525667285,0.0038098532143024115,0.00083137813053388646,0.780828418,0.821416655,17.249749765,89.973,488.87027805448531,2396.9337025322798,1,1,0.32952076268949698
clifford_t,ct_n20_d12,1.00,22,202707160322,0.33002023048982132,0.00049946780032433802,0.32985034333907487,0.00032958064957788746,0.003718229649780201,0.00079272922490780933,0.752406518,0.818279831,18.002156283,89.973,157.85876924945617,2396.9337025322798,1,1,0.32952076268949698
clifford_t,ct_n20_d12,1.00,23,202707160323,0.32386633254794195,0.0056544301415550335,0.32959016895685173,6.9406267354743534e-05,0.0038410543364135667,0.00080091519431866101,0.800140467,0.817491163,18.802296750,89.973,341.99073307209045,2396.9337025322798,1,1,0.32952076268949698
clifford_t,ct_n20_d12,1.00,24,202707160324,0.32201153269600202,0.0075092299934949591,0.329274392445983,0.00024637024351398251,0.0040626824368125772,0.00082929157976314798,0.774175476,0.815686343,19.576472226,89.973,298.58245382525172,2396.9337025322798,1,1,0.32952076268949698
clifford_t,ct_n20_d12,1.00,25,202707160325,0.33589078837420872,0.0063700256847117331,0.32953904828311203,1.8285593615052775e-05,0.0041915071109662931,0.00083830142219325861,0.789893602,0.814654633,20.366365828,89.973,550.26334312975837,2396.9337025322798,1,1,0.32952076268949698
clifford_t,ct_n20_d12,1.00,26,202707160326,0.33266437845253988,0.0031436157630428951,0.32965925328962847,0.00013849060013149117,0.0041523081436969384,0.00081433462504465091,0.803209923,0.814214452,21.169575751,89.973,305.21627436951121,2396.9337025322798,1,1,0.32952076268949698
clifford_t,ct_n20_d12,1.00,27,202707160327,0.33480513403186668,0.0052843713423696981,0.32984984146526691,0.00032907877576993094,0.0041903777945886374,0.00080643858257066004,0.786580877,0.813190986,21.956156628,89.973,160.31833889414057,2396.9337025322798,1,1,0.32952076268949698
clifford_t,ct_n20_d12,1.00,28,202707160328,0.33363795369910798,0.0041171910096109987,0.32998513118790412,0.00046436849840714167,0.0041738969234227409,0.00078879237552815552,0.779565805,0.811990087,22.735722433,89.973,300.17233552388109,2396.9337025322798,1,1,0.32952076268949698
clifford_t,ct_n20_d12,1.00,29,202707160329,0.32650181531867889,0.0030189473708180925,0.32986501684758596,0.00034425415808897464,0.0041494118021013614,0.00077052642782706252,0.777928968,0.810815566,23.513651401,89.973,311.0593915918995,2396.9337025322798,1,1,0.32952076268949698
clifford_t,ct_n20_d12,1.00,30,202707160330,0.33355899520651699,0.0040382325170200128,0.32998814945955041,0.00046738677005342399,0.0041326452220476354,0.00075451433676047863,0.813283573,0.810897832,24.326934974,89.973,257.01066003049067,2396.9337025322798,1,1,0.32952076268949698
clifford_t,ct_n20_d12,1.00,31,202707160331,0.33453287245814595,0.0050121097686489646,0.33013475342724702,0.00061399073775003643,0.0041443623237613159,0.00074434944686753782,0.809002240,0.810836684,25.135937214,89.973,349.87664973294034,2396.9337025322798,1,1,0.32952076268949698
clifford_t,ct_n20_d12,1.00,32,202707160332,0.33467530452198763,0.0051545418324906445,0.33027664564895765,0.00075588295946066308,0.0041552318652734333,0.00073454815733431779,0.803668125,0.810612667,25.939605339,89.973,238.50670169601582,2396.9337025322798,1,1,0.32952076268949698
clifford_t,ct_n20_d12,1.00,33,202707160333,0.3216718001563873,0.0078489625331096824,0.3300158927552434,0.0004951300657464186,0.0043554711824201351,0.00075819021401828872,0.783709423,0.809797417,26.723314762,89.973,228.3765993645905,2396.9337025322798,1,1,0.32952076268949698
clifford_t,ct_n20_d12,1.00,34,202707160334,0.33671296738588447,0.0071922046963874831,0.33021286553849755,0.00069210284900056429,0.0044400921443048091,0.0007614695206506429,0.780600643,0.808938688,27.503915405,89.973,386.25514310566911,2396.9337025322798,1,1,0.32952076268949698
clifford_t,ct_n20_d12,1.00,35,202707160335,0.32363112051773224,0.0058896421717647418,0.33002481568076136,0.00050405299126438097,0.0045135660661884515,0.0007629319129674846,0.793703231,0.808503390,28.297618636,89.973,2443.2628406778754,2443.2628406778754,1,1,0.32952076268949698
clifford_t,ct_n20_d12,1.00,36,202707160336,0.32495392090692193,0.0045668417825750485,0.32988395749259919,0.00036319480310220698,0.004528188443542064,0.00075469807392367734,0.802246438,0.808329585,29.099865074,89.973,573.2183905993985,2443.2628406778754,1,1,0.32952076268949698
clifford_t,ct_n20_d12,1.00,37,202707160337,0.32611593825582802,0.0034048244336689626,0.32978211913484862,0.00026135644535163483,0.0045076213559358692,0.00074104838607185841,0.798217544,0.808056287,29.898082618,89.973,412.76959918601307,2443.2628406778754,1,1,0.32952076268949698
clifford_t,ct_n20_d12,1.00,38,202707160338,0.326767728082619,0.0027530346068779799,0.32970279305452677,0.00018203036502978387,0.0044730993063780726,0.00072563252633967912,0.782345388,0.807379684,30.680428006,89.973,294.24600959022212,2443.2628406778754,1,1,0.32952076268949698
clifford_t,ct_n20_d12,1.00,39,202707160339,0.32187278427856586,0.0076479784109311222,0.32950202359873293,1.8739090764052779e-05,0.0045884748492553366,0.00073474400639233248,0.813776737,0.807543711,31.494204743,89.973,232.19306119877777,2443.2628406778754,1,1,0.32952076268949698
clifford_t,ct_n20_d12,1.00,40,202707160340,0.31720261777296405,0.012318144916532936,0.32919453845308866,0.00032622423640832343,0.0049291112057847971,0.0007793609125269443,0.787859650,0.807051610,32.282064393,89.973,243.84057309641327,2443.2628406778754,1,1,0.32952076268949698
clifford_t,ct_n20_d12,1.00,41,202707160341,0.3267082715201225,0.002812491169374487,0.32913389779618707,0.00038686489330991281,0.0048825713212472636,0.00076252953092860692,0.814566513,0.807234900,33.096630906,89.973,212.9893928815716,2443.2628406778754,1,1,0.32952076268949698
clifford_t,ct_n20_d12,1.00,42,202707160342,0.3369423160375396,0.0074215533480426199,0.32931981251621928,0.00020095017327770304,0.0049708903943623071,0.00076702504014448817,0.793346014,0.806904212,33.889976920,89.973,386.41523762162251,2443.2628406778754,1,1,0.32952076268949698
clifford_t,ct_n20_d12,1.00,43,202707160343,0.32216123004582192,0.0073595326436750597,0.32915333385411699,0.00036742883537999038,0.0050312200441617813,0.00076725386376341579,0.817731093,0.807156000,34.707708013,89.973,659.40257302981036,2443.2628406778754,1,1,0.32952076268949698
clifford_t,ct_n20_d12,1.00,44,202707160344,0.32517556381102664,0.0043451988784703466,0.32906292998950132,0.00045783269999566389,0.005008403181230847,0.00075504518868023071,0.831184072,0.807702093,35.538892085,89.973,468.15304955815793,2443.2628406778754,1,1,0.32952076268949698
clifford_t,ct_n20_d12,1.00,45,202707160345,0.32594986712811624,0.003570895561380738,0.32899375081480386,0.00052701187469311739,0.0049728631901899325,0.00074131067573807695,0.807743179,0.807703006,36.346635264,89.973,699.1578115090557,2443.2628406778754,1,1,0.32952076268949698
clifford_t,ct_n20_d12,1.00,46,202707160346,0.32808004014842718,0.0014407225410698055,0.32897388753944784,0.000546875150049142,0.0049191438357649919,0.00072528818975249446,0.823710341,0.808050991,37.170345605,89.973,416.98840475240399,2443.2628406778754,1,1,0.32952076268949698
clifford_t,ct_n20_d12,1.00,47,202707160347,0.32293277499088718,0.0065879876986097985,0.32884535322990405,0.00067540945959293497,0.0049445346948986182,0.00072123451123243167,0.834699433,0.808617980,38.005045038,89.973,253.23332468868293,2443.2628406778754,1,1,0.32952076268949698
clifford_t,ct_n20_d12,1.00,48,202707160348,0.32893311280681065,0.00058764988268633633,0.32884718155442288,0.00067358113507409723,0.0048916668510692457,0.00070605129331269951,0.798315502,0.808403345,38.803360540,89.973,347.69304007986432,2443.2628406778754,1,1,0.32952076268949698
clifford_t,ct_n20_d12,1.00,49,202707160349,0.32698407652249872,0.0025366861669982588,0.32880915900275098,0.0007116036867459985,0.0048477557859702182,0.0006925365408528883,0.808821922,0.808411887,39.612182462,89.973,105.74331836376503,2443.2628406778754,1,1,0.32952076268949698
