family,case,method,tail_ratio,passes,status,cumulative_runtime_s,mean_runtime_s,peak_memory_mb,cumulative_mean,reference,abs_error_of_cumulative_mean,sample_stddev,standard_error
clifford_t_depol,ct_depol_n20_d12,hybrid_l1_tail,0.2,3,ok,16.583514854,5.527838284666667,31.9348297119141,0.0663113440331214,0.0663217307060528,1.0386672931392282e-05,1.5563893926934124e-05,8.9858183483542e-06
clifford_t_depol,ct_depol_n20_d12,hybrid_l1_tail,0.2,4,ok,22.025847889,5.50646197225,32.2685852050781,0.06631277294313073,0.0663217307060528,8.95776292206274e-06,1.3025244644082785e-05,6.512622322041392e-06
clifford_t_depol,ct_depol_n20_d12,hybrid_l1_tail,0.2,5,ok,27.540186011000003,5.508037202200001,32.2685852050781,0.06630681643732976,0.0663217307060528,1.4914268723034696e-05,1.7454012584884458e-05,7.805671723987693e-06
clifford_t_depol,ct_depol_n20_d12,hybrid_l1_tail,0.2,6,ok,33.270551767,5.5450919611666665,32.2685852050781,0.06630789243278463,0.0663217307060528,1.3838273268160228e-05,1.583226583796764e-05,6.46349546251971e-06
clifford_t_depol,ct_depol_n20_d12,hybrid_l1_tail,0.2,7,ok,38.58660546,5.512372208571429,32.2685852050781,0.06630811942977576,0.0663217307060528,1.3611276277039619e-05,1.4465288155025555e-05,5.46736501444085e-06
clifford_t_depol,ct_depol_n20_d12,hybrid_l1_tail,0.2,8,ok,44.342909767,5.542863720875,32.2685852050781,0.06631017949479256,0.0663217307060528,1.1551211260230065e-05,1.4604910961526894e-05,5.163615789760703e-06
clifford_t_depol,ct_depol_n20_d12,hybrid_l1_tail,0.2,9,ok,50.240114408000004,5.582234934222223,32.2685852050781,0.06631008997464014,0.0663217307060528,1.1640731412659866e-05,1.3664282670125035e-05,4.5547608900416785e-06
clifford_t_depol,ct_depol_n20_d12,hybrid_l1_tail,0.2,10,ok,55.93270466600001,5.593270466600001,32.4332885742188,0.06631181279626713,0.0663217307060528,9.91790978566165e-06,1.3987419980401984e-05,4.423210572741802e-06
clifford_t,ct_n20_d12,hybrid_l1_tail,0.05,1,ok,11.535143208,11.535143208,49.2809143066406,0.329561303068062,0.329520762689497,4.054037856499049e-05,,
clifford_t,ct_n20_d12,hybrid_l1_tail,0.05,2,ok,24.574074279999998,12.287037139999999,49.2848052978516,0.32958834283153,0.329520762689497,6.7580142033008e-05,3.8240000219830915e-05,2.7039763468017505e-05
clifford_t,ct_n20_d12,hybrid_l1_tail,0.05,3,ok,36.343013221,12.114337740333333,49.2848052978516,0.329557027451436,0.329520762689497,3.626476193901995e-05,6.06061704754488e-05,3.4990988838552716e-05
clifford_t,ct_n20_d12,hybrid_l1_tail,0.05,4,ok,46.054996537,11.51374913425,49.2950592041016,0.329570466048155,0.329520762689497,4.970335865800424e-05,5.631271727507841e-05,2.8156358637539204e-05
clifford_t,ct_n20_d12,hybrid_l1_tail,0.05,5,ok,55.384367454,11.0768734908,49.2950592041016,0.3295641905684612,0.329520762689497,4.342787896421951e-05,5.074691933618807e-05,2.2694712256883003e-05
clifford_t,ct_n20_d12,hybrid_l1_tail,0.05,6,ok,65.438070289,10.906345048166665,49.2950592041016,0.32958318170570716,0.329520762689497,6.241901621018009e-05,6.49936890864216e-05,2.653356246047145e-05
clifford_t,ct_n20_d12,hybrid_l1_tail,0.05,7,ok,76.17221490099999,10.881744985857141,49.2950592041016,0.32957545086907014,0.329520762689497,5.468817957315908e-05,6.275755356908828e-05,2.37201256620888e-05
clifford_t,ct_n20_d12,hybrid_l1_tail,0.05,8,ok,85.53184810799999,10.691481013499999,49.2950592041016,0.32957262124208464,0.329520762689497,5.1858552587658036e-05,5.865083528449514e-05,2.073620167596087e-05
clifford_t,ct_n20_d12,hybrid_l1_tail,0.05,9,ok,94.65377413499999,10.517086014999999,49.2950592041016,0.3295808339268599,0.329520762689497,6.0071237362901986e-05,6.0141201688887304e-05,2.00470672296291e-05
clifford_t,ct_n20_d12,hybrid_l1_tail,0.05,10,ok,104.57920243699999,10.457920243699999,49.2950592041016,0.3295740863225113,0.329520762689497,5.332363301430165e-05,6.058366843073571e-05,1.915823812495638e-05
clifford_t,ct_n20_d12,hybrid_l1_tail,0.1,1,ok,11.951319716,11.951319716,50.2825469970703,0.329520762689499,0.329520762689497,1.9984014443252818e-15,,
clifford_t,ct_n20_d12,hybrid_l1_tail,0.1,2,ok,22.392730338,11.196365169,50.2825469970703,0.329520762689499,0.329520762689497,1.9984014443252818e-15,0.0,0.0
clifford_t,ct_n20_d12,hybrid_l1_tail,0.1,3,ok,34.014800392,11.338266797333333,50.2825469970703,0.329520762689499,0.329520762689497,1.9984014443252818e-15,0.0,0.0
clifford_t,ct_n20_d12,hybrid_l1_tail,0.1,4,ok,44.776429281,11.19410732025,50.2825469970703,0.329520762689499,0.329520762689497,1.9984014443252818e-15,0.0,0.0
clifford_t,ct_n20_d12,hybrid_l1_tail,0.1,5,ok,55.154879557,11.0309759114,50.2825469970703,0.32952372461194923,0.329520762689497,2.9619224522492438e-06,6.623059942744322e-06,2.9619224502064337e-06
clifford_t,ct_n20_d12,hybrid_l1_tail,0.1,6,ok,64.990242873,10.8317071455,50.2825469970703,0.3295232309582075,0.329520762689497,2.468268710531518e-06,6.045998883916565e-06,2.4682687085053616e-06
clifford_t,ct_n20_d12,hybrid_l1_tail,0.1,7,ok,76.077225867,10.868175123857142,50.2825469970703,0.329524994007285,0.329520762689497,4.231317788039313e-06,7.226350838060891e-06,2.7313038862874723e-06
clifford_t,ct_n20_d12,hybrid_l1_tail,0.1,8,ok,86.04732871899999,10.755916089874999,50.2825469970703,0.3295263162940931,0.329520762689497,5.553604596142403e-06,7.664702521238919e-06,2.7098815642728337e-06
clifford_t,ct_n20_d12,hybrid_l1_tail,0.1,9,ok,97.02395888199999,10.780439875777777,50.2825469970703,0.32952734473938833,0.329520762689497,6.582049891346031e-06,7.80535099619916e-06,2.60178366539972e-06
clifford_t,ct_n20_d12,hybrid_l1_tail,0.1,10,ok,107.67190375799998,10.767190375799998,50.2825469970703,0.3295266865343994,0.329520762689497,5.923844902444575e-06,7.647650881604922e-06,2.418399553566625e-06
clifford_t,ct_n20_d12,hybrid_l1_tail,0.2,1,ok,15.932992259,15.932992259,54.6475982666016,0.329520762689499,0.329520762689497,1.9984014443252818e-15,,
clifford_t,ct_n20_d12,hybrid_l1_tail,0.2,2,ok,28.879586342000003,14.439793171000002,54.6543273925781,0.329520762689499,0.329520762689497,1.9984014443252818e-15,0.0,0.0
clifford_t,ct_n20_d12,hybrid_l1_tail,0.2,3,ok,41.45529504,13.818431680000002,54.6543273925781,0.329520762689499,0.329520762689497,1.9984014443252818e-15,0.0,0.0
clifford_t,ct_n20_d12,hybrid_l1_tail,0.2,4,ok,53.243341857000004,13.310835464250001,54.6543273925781,0.329520762689499,0.329520762689497,1.9984014443252818e-15,0.0,0.0
clifford_t,ct_n20_d12,hybrid_l1_tail,0.2,5,ok,64.595068846,12.919013769200001,54.6543273925781,0.329520762689499,0.329520762689497,1.9984014443252818e-15,0.0,0.0
clifford_t,ct_n20_d12,hybrid_l1_tail,0.2,6,ok,77.06225836200001,12.843709727000002,54.6543273925781,0.329520762689499,0.329520762689497,1.9984014443252818e-15,0.0,0.0
clifford_t,ct_n20_d12,hybrid_l1_tail,0.2,7,ok,89.05881840800001,12.722688344000002,54.6658172607422,0.329520762689499,0.329520762689497,1.9984014443252818e-15,0.0,0.0
clifford_t,ct_n20_d12,hybrid_l1_tail,0.2,8,ok,101.34505919300001,12.668132399125001,54.6658172607422,0.329520762689499,0.329520762689497,1.9984014443252818e-15,0.0,0.0
clifford_t,ct_n20_d12,hybrid_l1_tail,0.2,9,ok,114.517492407,12.724165823,54.6678771972656,0.329520762689499,0.329520762689497,1.9984014443252818e-15,0.0,0.0
clifford_t,ct_n20_d12,hybrid_l1_tail,0.2,10,ok,127.531013649,12.753101364900001,54.6678771972656,0.32952076268949904,0.329520762689497,2.0539125955565396e-15,5.851389114294502e-17,1.850371707708594e-17
ising,ising_n20_s12,hybrid_l1_tail,0.05,1,support_cap,28.48564829,,36.6211395263672,,0.714108793456576,,,
ising,ising_n20_s12,hybrid_l1_tail,0.1,1,support_cap,27.972474685,,36.6211395263672,,0.714108793456576,,,
ising,ising_n20_s12,hybrid_l1_tail,0.2,1,support_cap,20.460896943,,32.0435028076172,,0.714108793456576,,,
